"source_tissue","Background","CSF","Gray Matter","White Matter","Fat","Muscle","Muscle/Skin","Skull","Vessels","Around fat","Dura mater","Bone marrow"
"CSF",0.514126270081594,1,0.960164956328083,0.952953407350987,0.925714007737433,0.944110193763025,0.932783306912428,0.911968392247723,0.947450180416353,0.930320277084335,0.947450180416353,0.947450180416353
"Gray Matter",0.492397767286393,0.838463948649973,1,0.974066264219305,0.935894075475746,0.959568850579246,0.944465615510364,0.920229077894432,0.964593292151046,0.94142585546412,0.964593292151046,0.964593292151046
"White Matter",0.48376763319795,0.808454616027722,0.895577909243228,1,0.940703677894489,0.968479670332023,0.950248902097958,0.923924503463113,0.975477930151922,0.946822579411261,0.975477930151922,0.975477930151922
"Fat",0.439196028809892,0.693740559209167,0.73667688920342,0.756992324195708,1,0.791292992065948,0.863392161478918,0.949993632918105,0.776845188789406,0.888442893813907,0.776845188789406,0.776845188789406
"Muscle",0.471277765658886,0.771353105912702,0.835993485293029,0.872741260379864,0.948854386312664,1,0.960691081727165,0.929827883202113,0.919163182075786,0.956307283528987,0.919163182075786,0.919163182075786
"Muscle/Skin",0.452413769254281,0.723571830618662,0.772852505407166,0.797141203921111,0.966202912517637,0.840645414343304,1,0.940495262323265,0.82182942269227,0.98022030537101,0.82182942269227,0.82182942269227
"Skull",0.411012863417369,0.636478267855605,0.670732203948883,0.686217536602195,0.796084741502512,0.711076144867853,0.756115465265583,1,0.700820193192813,0.768688057407492,0.700820193192813,0.700820193192813
"Vessels",0.476234799341312,0.785400338273811,0.856807072052849,0.901322519705603,0.945414882975997,0.979875516604883,0.956160387686981,0.927395776117132,1,0.952241556900776,1,1
"Around fat",0.447924027561792,0.713145208693362,0.760043365023805,0.782761305926036,0.972317095445883,0.822443114121962,0.920559371834073,0.943476630567785,0.805482479375484,1,0.805482479375484,0.805482479375484
"Dura mater",0.476234799341312,0.785400338273811,0.856807072052849,0.901322519705603,0.945414882975997,0.979875516604883,0.956160387686981,0.927395776117132,1,0.952241556900776,1,1
"Bone marrow",0.476234799341312,0.785400338273811,0.856807072052849,0.901322519705603,0.945414882975997,0.979875516604883,0.956160387686981,0.927395776117132,1,0.952241556900776,1,1
