"tissue","id","Background","CSF","Gray Matter","White Matter","Fat","Muscle","Muscle/Skin","Skull","Vessels","Around fat","Dura mater","Bone marrow"
"CSF",1,1.81833333333333,1.81166666666667,1.80333333333333,1.80833333333333,1.81833333333333,1.84,1.83666666666667,1.83666666666667,1.845,1.845,1.85,1.83333333333333
"Gray Matter",2,1.84833333333333,1.84666666666667,1.85666666666667,1.85333333333333,1.855,1.84,1.835,1.82833333333333,1.83,1.82,1.81166666666667,1.81833333333333
"White Matter",3,1.82166666666667,1.83,1.82333333333333,1.82166666666667,1.81666666666667,1.81166666666667,1.81166666666667,1.81833333333333,1.81166666666667,1.81666666666667,1.825,1.82833333333333
"Fat",4,1.835,1.83166666666667,1.84,1.82833333333333,1.82833333333333,1.835,1.835,1.82833333333333,1.82833333333333,1.83,1.83166666666667,1.835
"Muscle",5,1.70666666666667,1.705,1.71,1.72333333333333,1.73333333333333,1.735,1.74333333333333,1.74833333333333,1.74166666666667,1.745,1.73833333333333,1.73166666666667
"Muscle/Skin",6,1.77,1.77,1.76,1.76166666666667,1.75166666666667,1.755,1.74833333333333,1.75166666666667,1.755,1.75166666666667,1.76,1.76666666666667
"Skull",7,1.78833333333333,1.79166666666667,1.79666666666667,1.78833333333333,1.79833333333333,1.795,1.795,1.79166666666667,1.795,1.8,1.795,1.795
"Vessels",8,1.945,1.95,1.94,1.93666666666667,1.93,1.93166666666667,1.93666666666667,1.93333333333333,1.92666666666667,1.92333333333333,1.92333333333333,1.915
"Around fat",9,1.79833333333333,1.78833333333333,1.8,1.81333333333333,1.815,1.825,1.81333333333333,1.82333333333333,1.83333333333333,1.835,1.83166666666667,1.84666666666667
"Dura mater",10,1.91333333333333,1.915,1.90666666666667,1.9,1.90333333333333,1.90333333333333,1.91666666666667,1.9,1.89,1.89666666666667,1.90833333333333,1.89666666666667
"Bone marrow",11,1.88,1.87833333333333,1.88166666666667,1.885,1.88166666666667,1.86833333333333,1.865,1.87666666666667,1.885,1.88,1.87,1.86833333333333
