"","id","tissue","mu_a","mu_s","cp_absorb","cp_bound","std_err"
"1",21,"0.67 umolar",0.0558333333333333,10,0.02445,0.97555,0.000154441566619871
"2",22,"1 umolar",0.067,10,0.029212,0.970788,0.000168400294109007
"3",23,"1.3 umolar",0.0781666666666667,10,0.033972,0.966028,0.000181157123006522
"4",24,"1.7 umolar",0.0893333333333333,10,0.038515,0.961485,0.000192435949798888
"5",25,"2 umolar",0.1005,10,0.043556,0.956444,0.000204105058398855
"6",26,"2.3 umolar",0.111666666666667,10,0.048501,0.951499,0.000214822375461682
"7",27,"2.7 umolar",0.122833333333333,10,0.052708,0.947292,0.000223449919973134
"8",28,"3 umolar",0.134,10,0.057567,0.942433,0.000232922820932171
"9",29,"3.3 umolar",0.145166666666667,10,0.062145,0.937855,0.000241418721260386
"10",30,"3.7 umolar",0.156333333333333,10,0.066752,0.933248,0.000249592008077182
"11",31,"4 umolar",0.1675,10,0.071437,0.928563,0.0002575534022897
"12",32,"4.3 umolar",0.178666666666667,10,0.075555,0.924445,0.000264284774391186
"13",33,"4.7 umolar",0.189833333333333,10,0.080633,0.919367,0.000272270672880867
"14",34,"5 umolar",0.201,10,0.084819,0.915181,0.000278612162762145
