"id","tissue","mu_a","mu_s","p_scatter","std_err_scatter"
1,"CSF",0.0076,0.01,0.004473,6.67307445709997e-05
2,"Gray Matter",0.0335,10,0.859289,0.00034772318657087
3,"White Matter",0.0207,33,0.955257,0.000206739120514236
4,"Fat",0.087,11.5,0.873023,0.000332947205230799
5,"Muscle",1.12,53,0.952396,0.000212926886944791
6,"Muscle/Skin",0.35,35,0.949061,0.000219873186812308
7,"Skull",0.015,8.6,0.840851,0.000365814974815138
8,"Vessels",0.22,58.5,0.971219,0.000167190472333204
9,"Around fat",0.087,11.5,0.873034,0.000332934880786018
10,"Dura mater",0.085,6.5,0.78935,0.000407770250876643
11,"Bone marrow",0.015,9.6,0.856291,0.000350794417457006
